time,event,detail,headx,heady,headz,targetx,targety,targetz,toolx,tooly,toolz,toolyaw,toolpitch,toolroll,pinchforce
0.079,new word,twin,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
0.298,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
0.397,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
0.498,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
0.597,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
0.704,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
0.798,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
0.899,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
0.996,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.101,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.202,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.306,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.403,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.498,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.603,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.697,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.804,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.896,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
1.998,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.102,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.201,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.298,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.399,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.505,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.598,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.696,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.8,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.901,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
2.999,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.1,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.197,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.302,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.4,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.502,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.6,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.7,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.799,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.905,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
3.997,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.096,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.198,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.3,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.406,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.501,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.596,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.702,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.802,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
4.896,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.002,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.097,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.196,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.296,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.397,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.498,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.602,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.701,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.798,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.903,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
5.996,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.099,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.203,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.303,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.4,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.497,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.598,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.697,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.798,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.896,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
6.998,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.102,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.198,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.297,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.397,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.503,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.597,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.701,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.797,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.896,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
7.998,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.097,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.198,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.299,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.396,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.501,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.599,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.7,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.8,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.897,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
8.996,-,-,-1.367,0.542,-0.791,-1.367,0.5420001,0.723,-1.2869,0.383,-0.865,0,0,0,0
